ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	27	0.645401377884723	1.92858599553175	0.000566146986352357	0.0152106978216969	0.0131599404369404	443	tags=26%, list=9%, signal=24%	ACTN4/LMO7/RAC1/IQGAP1/VCL/ACTB/MAPK1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	24	0.637250056720024	1.83321412125324	0.00371538294790143	0.0493132645812372	0.042664684569203	465	tags=42%, list=9%, signal=38%	A2M/SERPIND1/C3/F11/C7/C5/PROS1/C9/C8B/SERPINC1
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	34	0.609868204486274	1.93443272942693	0.000625097170754667	0.0152106978216969	0.0131599404369404	651	tags=38%, list=13%, signal=34%	HK1/PGM2/PGK1/LDHB/PKM/ACSS1/ENO1/ENO2/ALDOA/ALDH9A1/LDHA/GAPDH/GPI
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	32	0.578234529662435	1.81230491903673	0.0033159008928639	0.048412153035813	0.0418850639098598	669	tags=34%, list=13%, signal=30%	HK1/PGM2/NAGK/HEXB/GMDS/GNE/UGP2/CYB5R3/UGDH/GPI/PGM3
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	25	0.570919671631525	1.66660202584326	0.00934827555481479	0.0912891286349373	0.0789812216019645	977	tags=48%, list=19%, signal=39%	CASP3/RAC1/BID/PPP3R1/TOMM40/CASP1/CYCS/PPP3CC/BAX/DERL1/CAT/RAB5A
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	39	0.498517154098302	1.63158643129671	0.00937902006523329	0.0912891286349373	0.0789812216019645	1285	tags=36%, list=25%, signal=27%	PAK2/RAC1/PPP3R1/ITGB1/MAPK1/PPP3CC/NFATC2/SEMA4D/SEMA4A/SRGAP2/NFATC1/ROCK1/DPYSL2/NCK1
KEGG_LYSOSOME	KEGG_LYSOSOME	52	0.485609137700288	1.6490569853712	0.00609133841648667	0.0741112840672545	0.0641193517524913	981	tags=38%, list=19%, signal=31%	AP1B1/GGA3/HEXB/ATP6V0A1/AP1M1/AP1G1/CLN3/GLB1/CTSA/ATP6V1H/ATP6AP1/LAPTM5/GGA1/AP1S1/AP4S1/ATP6V0A2/GNS/IGF2R/AP3B1/GUSB
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	70	0.462252956134148	1.67795629710277	0.00218919578348477	0.0355136204876418	0.0307255548559266	941	tags=29%, list=18%, signal=24%	ACTN4/PAK2/RAC1/COL1A1/CRK/COL1A2/VCL/ACTB/ITGB1/COL3A1/FLNA/MAPK1/COMP/ITGA4/PIK3CD/PRKCB/GRB2/TLN1/DIAPH1/COL2A1
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	118	-0.455955961498752	-1.66438071233326	0.000350649653972703	0.0127987123700037	0.011073146967559	916	tags=38%, list=18%, signal=32%	CWC15/HNRNPA3/U2AF2/USP39/PRPF19/SNRPD3/PCBP1/SRSF10/SRSF3/AQR/U2AF1/PRPF6/SNRPD1/PRPF38A/HNRNPU/EIF4A3/NCBP2/PPIL1/HNRNPA1/SNRPB2/DDX46/RBM8A/NCBP1/THOC2/RBM25/SNRPB/SRSF7/LSM7/DHX15/SNRNP40/XAB2/HNRNPM/BCAS2/HNRNPC/LSM4/SRSF9/SNRPE/MAGOH/SRSF6/SNRPD2/THOC3/SNRPG/PRPF38B/TRA2A/TRA2B
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM	62	-0.478468232145461	-1.58958968791913	0.00672907082669737	0.0755726415921397	0.0653836841460474	1118	tags=42%, list=22%, signal=33%	ENTPD1/NT5C/POLR2C/POLR1D/PRIM1/POLA2/POLR3D/DUT/TK1/ITPA/POLR2H/TYMS/UMPS/PRIM2/DCK/POLR1C/PNPT1/POLD2/CTPS1/NUDT2/POLR1E/POLR2B/POLE2/POLR1B/RRM1/CAD
KEGG_RIBOSOME	KEGG_RIBOSOME	78	-0.520477648324936	-1.78333664052432	0.000164031701550717	0.0119743142132023	0.0103598969400453	947	tags=33%, list=18%, signal=28%	RPL21/RPS27A/RPL23/RPS2/RPL29/RPS27/RPL3/RPL19/RPL38/RPL37A/RPL18A/RPL15/RPS18/RPL34/RPL11/RPL8/RPL13A/RPL37/RPL26/RPL22L1/RPL14/RSL24D1/RPS4Y1/RPL28/RPL35A/RPL32
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	74	-0.567093680695611	-1.9434178992473	1.31144411741311e-05	0.00191470841142314	0.00165656099041656	1282	tags=53%, list=25%, signal=40%	CREBBP/ANAPC5/CCNB1/ATM/YWHAB/CDK6/BUB1/ORC3/ORC5/MAD1L1/HDAC1/PCNA/PLK1/ANAPC7/ORC1/ATR/STAG1/MCM2/MCM6/BUB3/SMC3/MCM5/ANAPC4/MCM4/YWHAQ/MCM3/CDC16/CDC23/ANAPC1/RBX1/MAD2L1/SKP1/WEE1/MCM7/CHEK1/CDC45/PRKDC/RB1/SMC1A
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	32	-0.6445700477287	-1.8562905688847	0.000341588018077261	0.0127987123700037	0.011073146967559	946	tags=59%, list=18%, signal=49%	PRIM1/RNASEH2B/PCNA/POLA2/FEN1/PRIM2/MCM2/MCM6/MCM5/MCM4/SSBP1/RFC3/MCM3/RFC2/POLD2/LIG1/MCM7/POLE2/RFC5
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	19	-0.677728255908151	-1.73395337174507	0.00201740256694662	0.0355136204876418	0.0307255548559266	903	tags=79%, list=17%, signal=65%	POLD3/RFC4/RPA3/RFC1/PCNA/MSH3/SSBP1/RFC3/RFC2/POLD2/LIG1/MLH1/MSH6/RFC5/MSH2
KEGG_NON_HOMOLOGOUS_END_JOINING	KEGG_NON_HOMOLOGOUS_END_JOINING	9	-0.83492509950865	-1.77457395390792	0.00149040605266086	0.031085611955498	0.0268945453111735	825	tags=78%, list=16%, signal=65%	MRE11/FEN1/XRCC4/PRKDC/XRCC6/RAD50/XRCC5
